X,Y,FAIRMARKETBUILDING__asmt,PROPERTYZIP__asmt,FAIRMARKETLAND__asmt,SALECODE__asmt,LEGAL1__asmt,PROPERTYFRACTION__asmt,PIN,NEIGHDESC__asmt,LOCALLAND__asmt,PROPERTYADDRESS__asmt,CLASSDESC__asmt,LEGAL2__asmt,COUNTYBUILDING__asmt,PROPERTYHOUSENUM__asmt,PROPERTYUNIT__asmt,FAIRMARKETTOTAL__asmt,LOTAREA__asmt,SALEDATE__asmt,LEGAL3__asmt,PROPERTYCITY__asmt,NEIGHCODE__asmt,LOCALTOTAL__asmt,SALEPRICE__asmt,COUNTYLAND__asmt,PROPERTYSTATE__asmt,LOCALBUILDING__asmt,USEDESC__asmt,COUNTYTOTAL__asmt,MUNIDESC__asmt
-80.0103694698029,40.3977766746687,0,15226,32400,H,1.71 A LD EDGEBROOK AVE, ,0061K00070000000,11903,32400,EDGEBROOK AVE,RESIDENTIAL,,0,0, ,32400,74488,12-18-2015,,PITTSBURGH,11903,32400,17000,32400,PA,0,VACANT LAND,32400,19th Ward - PITTSBURGH
-80.0842983084323,40.4231589408683,0,15205,36500,9,5.308 ALD CHARTIERS AVE                        , ,0104D00020000000,12803,36500,CHARTIERS AVE,RESIDENTIAL,,0,0, ,36500,231304,08-05-1992,,PITTSBURGH,12803,36500,25000,36500,PA,0,VACANT LAND,36500,28th Ward - PITTSBURGH
-79.9350767875105,40.3846175293627,0,15207,17700,N,J M RISER PLAN 198-199-200 LOT 300XAVG221.68 IN, ,0135D00181000000,13103,17700,KILGORE ST,RESIDENTIAL, ALL KILGORE ST TO DIVISION ST                 ,0,0, ,17700,66473,01-02-1947,,PITTSBURGH,13103,17700,0,17700,PA,0,VACANT LAND,17700,31st Ward - PITTSBURGH
-79.9289628124648,40.3868442056955,0,15207,16100,H,DOERR TERRACE PLAN 210-214 INCL LOT 285XAVG172., ,0091N00301000000,13103,16100,CIRCLE AVE,RESIDENTIAL,41X291.75 RR IN ALL CIRCLE AVE,0,0, ,16100,49658,08-02-2007,,PITTSBURGH,13103,16100,39250,16100,PA,0,VACANT LAND,16100,31st Ward - PITTSBURGH
-80.0387781104184,40.4151659344223,0,15220,37300,9,LOT 156.62XAVG449.94X216.43 OR (1.9457 ALD)    , ,0017R00110000000,12001,37300,CRANE AVE,RESIDENTIAL,REAR OF CRANE AVE                              ,0,0, ,37300,84071,01-02-1985,,PITTSBURGH,12001,37300,10,37300,PA,0,VACANT LAND,37300,20th Ward - PITTSBURGH
-79.9094660990022,40.4665649141388,0,15206,8700,9,LOT 201.18X188.46X257.01 RR HOOKER COR THOMPSON, ,0124K00316000000,11203,8700,HOOKER ST,RESIDENTIAL,,0,0, ,8700,44736,05-25-1990,,PITTSBURGH,11203,8700,2500,8700,PA,0,VACANT LAND,8700,12th Ward - PITTSBURGH
-79.9278108289957,40.3798223291656,0,15207,32600,H,LA VILLE PLAN NO 1, ,0134F00010000000,13103,32600,TORCH ST,RESIDENTIAL,PARCEL C = 570 FRONTING WITH 14 TOTAL BEARINGS,0,0, ,32600,670824,05-25-2017,,PITTSBURGH,13103,32600,36500,32600,PA,0,VACANT LAND,32600,31st Ward - PITTSBURGH
-80.00812934327,40.3961799618468,0,15226,1100,14,LOT=396.18 X 123.30 X 40 X 140 X 406.33 X 79.89 X, ,0061P00180000000,13202,1100,WHITED ST,RESIDENTIAL,X 106.04 X 110.27 X 117.73 X 123.64,0,0, ,1100,93654,08-17-2018,,PITTSBURGH,13202,1100,40000,1100,PA,0,VACANT LAND,1100,32nd Ward - PITTSBURGH
-79.9292742656333,40.3831829869678,0,15207,1200,AA,DOERR TERRACE PLAN OF LOTS, ,0134A00229000000,13103,1200,MIFFLIN RD,RESIDENTIAL,PT LOTS 3 THRU 12 = 279X18X29X154.50X329.23X170.75,0,0, ,1200,52677,07-23-2007,,PITTSBURGH,13103,1200,10000,1200,PA,0,VACANT LAND,1200,31st Ward - PITTSBURGH
-79.9845830170402,40.4669936819728,0,15212,18900,N,1.35 A LD E SIDE SPRING GARDEN AVE             , ,0047M00168000100,WARD 26 - NORTHVIEW HEIGHTS,18900,SPRING GARDEN AVE,RESIDENTIAL,,0,0, ,18900,58806,02-28-1970,,PITTSBURGH,12603,18900,0,18900,PA,0,VACANT LAND,18900,26th Ward - PITTSBURGH
-80.0287188623385,40.4357705477909,0,15211,12200,9,CLARENCE SHALER PLAN 26 TO 29 & ALL 30 TO 35 IN, ,0006K00024000000,11903,12200,FINGAL ST,RESIDENTIAL,CL IRREG LOT 410X223.06X425 RR FINGAL ST       ,0,0, ,12200,132858,07-01-1987,,PITTSBURGH,11903,12200,4810,12200,PA,0,VACANT LAND,12200,19th Ward - PITTSBURGH
-79.9779368234036,40.4136605021234,0,15210,13500,9,YARDS PLAN 6 1 A LD PARKWOOD RD                , ,0032B00005000000,11603,13500,PARKWOOD RD,RESIDENTIAL,,0,0, ,13500,43560,10-31-1988,,PITTSBURGH,11603,13500,23000,13500,PA,0,VACANT LAND,13500,16th Ward - PITTSBURGH
